name,arity,imp_mult,imp_end,implemented,parent,label,script_child,keyword,default_args
Matrix,nxm,y,,y,,,,mat,33
Cases,2xn,y,,y,,,,cases,2
Dualscript,2,y,,y,,,y,^_,
Fraction,2,y,,y,,,*,frac,
Binomial,2,y,,y,,,*,binom,
Limit,2,y,,y,,,y,lim,
Nrt,2,y,y,y,,,,nrt,
BigSum2,2,y,,y,BigSymbol2,∑,y,sum2,
BigProd2,2,y,,y,BigSymbol2,∏,y,prod2,
BigCoProd2,2,y,,y,BigSymbol2,∐,y,coprod2,
BigUnion2,2,y,,y,BigSymbol2,⋃,y,union2,
BigIntersection2,2,y,,y,BigSymbol2,⋂,y,intersection2,
Integral2,2,y,y,y,BigSymbol2,∫,y,int2,
IntegralConv2,2,y,y,y,BigSymbol2,∮,y,oint2,
Superscript,1,y,,y,,,y,^,
Subscript,1,y,,y,,,y,_,
Max,1,,,y,Word,,y,max,
Min,1,,,y,Word,,y,min,
Inf,1,,,y,Word,,y,inf,
Sup,1,,,y,Word,,y,sup,
Sqrt,1,y,y,y,,,,sqrt,
BigSum1,1,y,,y,BigSymbol1,∑,y,sum1,
BigProd1,1,y,,y,BigSymbol1,∏,y,prod1,
BigCoProd1,1,y,,y,BigSymbol1,∐,y,coprod1,
BigUnion1,1,y,,y,BigSymbol1,⋃,y,union1,
BigIntersection1,1,y,,y,BigSymbol1,⋂,y,intersection1,
Integral1,1,y,y,y,BigSymbol1,∫,y,int1,
DoubleIntegral1,1,y,y,y,BigSymbol1,∬,y,iint1,
TripleIntegral1,1,y,y,y,BigSymbol1,∭,y,iiint1,
IntegralConv1,1,y,y,y,BigSymbol1,∮,y,oint1,
DoubleIntegralConv1,1,y,y,y,BigSymbol1,∯,y,oiint1,
TripleIntegralConv1,1,y,y,y,BigSymbol1,∰,y,oiiint1,
BigSum0,0,y,,y,BigSymbol0,∑,,sum,
BigProd0,0,y,,y,BigSymbol0,∏,,prod,
BigCoProd0,0,y,,y,BigSymbol0,∐,,coprod,
BigUnion0,0,y,,y,BigSymbol0,⋃,,union,
BigIntersection0,0,y,,y,BigSymbol0,⋂,,intersection,
Integral0,0,y,y,y,BigSymbol0,∫,,int,
DoubleIntegral0,0,y,y,y,BigSymbol0,∬,,iint,
TripleIntegral0,0,y,y,y,BigSymbol0,∭,,iiint,
IntegralConv0,0,y,y,y,BigSymbol0,∮,,oint,
DoubleIntegralConv0,0,y,y,y,BigSymbol0,∯,,oiint,
TripleIntegralConv0,0,y,y,y,BigSymbol0,∰,,oiiint,
MarkerLink,0,,,y,,,,,
AccentHat,1,y,,y,,,,hat,
AccentTilde,1,,,y,,,,tilde,
AccentBar,1,,,y,,,,bar,
AccentBreve,1,,,y,,,,breve,
AccentDot,1,,,y,,,,dot,
AccentDdot,1,,,y,,,,ddot,
AccentDddot,1,,,y,,,,dddot,
Settings,,,,y,,🛠,,,
