name,arity,imp_mult,imp_end,implemented,parent,label,script_child,keyword,default_args,encode_word
Matrix,nxm,y,,y,,,,mat,33,
Cases,2xn,y,,y,,,,cases,2,
Dualscript,2,y,,y,,,y,^_,,^_
Fraction,2,y,,y,,,*,frac,,f
Binomial,2,y,,y,,,*,binom,,binom
Limit,2,y,,y,,,y,lim,,lim
Nrt,2,y,y,y,,,,nrt,,nrt
BigSum2,2,y,,y,BigSymbol2,∑,y,sum2,,sum2
BigProd2,2,y,,y,BigSymbol2,∏,y,prod2,,prod2
BigCoProd2,2,y,,y,BigSymbol2,∐,y,coprod2,,coprod2
BigUnion2,2,y,,y,BigSymbol2,⋃,y,union2,,union2
BigIntersection2,2,y,,y,BigSymbol2,⋂,y,intersection2,,intersection2
Integral2,2,y,y,y,BigSymbol2,∫,y,int2,,int2
IntegralConv2,2,y,y,y,BigSymbol2,∮,y,oint2,,oint2
Superscript,1,y,,y,,,y,^,,^
Subscript,1,y,,y,,,y,_,,_
Max,1,,,y,Word,,y,max,,max
Min,1,,,y,Word,,y,min,,min
Inf,1,,,y,Word,,y,inf,,inf
Sup,1,,,y,Word,,y,sup,,sup
Sqrt,1,y,y,y,,,,sqrt,,sqrt
BigSum1,1,y,,y,BigSymbol1,∑,y,sum1,,sum1
BigProd1,1,y,,y,BigSymbol1,∏,y,prod1,,prod1
BigCoProd1,1,y,,y,BigSymbol1,∐,y,coprod1,,coprod1
BigUnion1,1,y,,y,BigSymbol1,⋃,y,union1,,union1
BigIntersection1,1,y,,y,BigSymbol1,⋂,y,intersection1,,intersection1
Integral1,1,y,y,y,BigSymbol1,∫,y,int1,,int1
DoubleIntegral1,1,y,y,y,BigSymbol1,∬,y,iint1,,iint1
TripleIntegral1,1,y,y,y,BigSymbol1,∭,y,iiint1,,iiint1
IntegralConv1,1,y,y,y,BigSymbol1,∮,y,oint1,,oint1
DoubleIntegralConv1,1,y,y,y,BigSymbol1,∯,y,oiint1,,oiint1
TripleIntegralConv1,1,y,y,y,BigSymbol1,∰,y,oiiint1,,oiiint1
BigSum0,0,y,,y,BigSymbol0,∑,,sum,,sum0
BigProd0,0,y,,y,BigSymbol0,∏,,prod,,prod0
BigCoProd0,0,y,,y,BigSymbol0,∐,,coprod,,coprod0
BigUnion0,0,y,,y,BigSymbol0,⋃,,union,,union0
BigIntersection0,0,y,,y,BigSymbol0,⋂,,intersection,,intersection0
Integral0,0,y,y,y,BigSymbol0,∫,,int,,int0
DoubleIntegral0,0,y,y,y,BigSymbol0,∬,,iint,,iint0
TripleIntegral0,0,y,y,y,BigSymbol0,∭,,iiint,,iiint0
IntegralConv0,0,y,y,y,BigSymbol0,∮,,oint,,oint0
DoubleIntegralConv0,0,y,y,y,BigSymbol0,∯,,oiint,,oiint0
TripleIntegralConv0,0,y,y,y,BigSymbol0,∰,,oiiint,,oiiint0
MarkerLink,0,,,y,,,,,,
AccentHat,1,y,,y,,,,hat,,hat
AccentTilde,1,,,y,,,,tilde,,tilde
AccentBar,1,,,y,,,,bar,,bar
AccentBreve,1,,,y,,,,breve,,breve
AccentDot,1,,,y,,,,dot,,dot
AccentDdot,1,,,y,,,,ddot,,ddot
AccentDddot,1,,,y,,,,dddot,,dddot
Settings,,,,y,,🛠,,settings,,settings
