op,a,b,return_type,impl,eigen_unsupported,test_in,test_out,constraint
ADDITION,double,double,double,a+b,,2+2,4,
ADDITION,MatrixXd,MatrixXd,MatrixXd,a+b,,,,(a.rows()!=b.rows()) | (a.cols()!=b.cols())=>DIMENSION_MISMATCH
ADDITION,string,string,string,a+b,,"""Hello""+""World""",HelloWorld,
SUBTRACTION,double,double,double,a-b,,4-2,2,
SUBTRACTION,MatrixXd,MatrixXd,MatrixXd,a-b,,,,(a.rows()!=b.rows()) | (a.cols()!=b.cols())=>DIMENSION_MISMATCH
UNARY_MINUS,double,,double,-a,,-2,-2,
UNARY_MINUS,MatrixXd,,MatrixXd,-a,,,,
MULTIPLICATION|CROSS|DOT|CALL|INNER_PRODUCT|ODOT,double,double,double,a*b,,2*2,4,
MULTIPLICATION|CALL,double,MatrixXd,MatrixXd,a*b,,,,
MULTIPLICATION|CALL,MatrixXd,double,MatrixXd,a*b,,,,
MULTIPLICATION|CALL,MatrixXd,MatrixXd,MatrixXd|double,"(a.rows() > 1 || b.cols() > 1) ? Value(a*b) : dot(a,b)",,,,a.cols()!=b.rows()=>DIMENSION_MISMATCH
DOT|INNER_PRODUCT,MatrixXd,MatrixXd,double,"dot(a,b)",,,,(a.rows()!=b.rows()) | (a.cols()!=b.cols()) | ((a.cols() > 1) & (a.rows() > 1))=>DIMENSION_MISMATCH
CROSS,MatrixXd,MatrixXd,MatrixXd,Map<const Vector3d>(a.data()).cross(Map<const Vector3d>(b.data())),,,,(a.rows()!=b.rows()) | (a.cols()!=b.cols()) | (a.size()!=3)=>DIMENSION_MISMATCH
ODOT,MatrixXd,MatrixXd,MatrixXd,a.cwiseProduct(b),,,,(a.rows()!=b.rows()) | (a.cols()!=b.cols())=>DIMENSION_MISMATCH
FORWARDSLASH|DIVIDE|FRACTION,double,double,double,a/b,,4/2,2,b==0=>DIV_BY_ZERO
FORWARDSLASH|DIVIDE|FRACTION,MatrixXd,double,MatrixXd,a/b,,,,b==0=>DIV_BY_ZERO
IMPLICIT_MULTIPLY,,,,implicitMult(pn),,,,
BACKSLASH,double,double,double,b/a,,,,
BACKSLASH,double,MatrixXd,MatrixXd,b/a,,,,
MODULUS,double,double,double,"std::fmod(a,b)",,,,
EQUAL,double,double,bool,a==b,,2+2=4,true,
EQUAL,MatrixXd,MatrixXd,bool,a.isApprox(b),,,,
EQUAL,string,string,bool,a==b,,"""Hello""=""World""",false,
EQUAL,bool,bool,bool,a==b,,,,
EQUAL,ANY,NOT_a,bool,false,,"""Hello""=2",false,
NOT_EQUAL,double,double,bool,a!=b,,,,
NOT_EQUAL,MatrixXd,MatrixXd,bool,!a.isApprox(b),,,,
NOT_EQUAL,string,string,bool,a!=b,,,,
NOT_EQUAL,bool,bool,bool,a!=b,,,,
NOT_EQUAL,ANY,NOT_a,bool,true,,,,
TRANSPOSE,double,,double,a,,,,
TRANSPOSE,MatrixXd,,MatrixXd,a.transpose(),,,,
PSEUDO_INVERSE,double,,,1/a,,,,
PSEUDO_INVERSE,MatrixXd,,,a.completeOrthogonalDecomposition().pseudoInverse(),,,,
DAGGER,double,,,a,,,,
DAGGER,MatrixXd,,,a.adjoint(),,,,
POWER,double,double,double,"std::pow(a,b)",,,,
POWER,MatrixXd,double,MatrixXd,"pow(a, b, pn)",,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
POWER,double,MatrixXd,MatrixXd,(b.log()*a).exp(),y,,,b.cols()!=b.rows()=>DIMENSION_MISMATCH
SQRT,double,,double,std::sqrt(a),,,,a<0=>IMAGINARY_RESULT
SQRT,MatrixXd,,MatrixXd,a.sqrt(),y,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
ROOT,double,double,double,"std::pow(a,1/b)",,,,
ROOT,MatrixXd,double,MatrixXd,a.pow(1/b),y,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
ROOT,double,MatrixXd,MatrixXd,(b.inverse().log()*a).exp(),y,,,b.cols()!=b.rows()=>DIMENSION_MISMATCH
GREATER,double,double,bool,a > b,,2 > 1|2 > 2,true|false,
GREATER_EQUAL,double,double,bool,a >= b,,,,
LESS,double,double,bool,a < b,,,,
LESS_EQUAL,double,double,bool,a <= b,,,,
LOGICAL_AND,bool,bool,bool,a && b,,,,
LOGICAL_NOT,bool,,bool,!a,,,,
LOGICAL_OR,bool,bool,bool,a || b,,,,
ABS,double,,,std::abs(a),,,,
ABS,MatrixXd,,,a.determinant(),,,,a.cols()!=a.rows()=>DIMENSION_MISMATCH
CEIL,double,,double,std::ceil(a),,,,
CEIL,MatrixXd,,MatrixXd,a.array().ceil(),y,,,
FLOOR,double,,double,static_cast<double>(int(a)),,,,
FLOOR,MatrixXd,,MatrixXd,a.array().floor(),y,,,
NORM|NORM_INFTY|NORM_1,double,,double,std::abs(a),,,,
NORM_p,double,double,double,std::abs(a),,,,
NORM,MatrixXd,,double,a.norm(),,,,(a.cols() > 1) & (a.rows() > 1)=>DIMENSION_MISMATCH
NORM_1,MatrixXd,,double,a.lpNorm<1>(),,,,(a.cols() > 1) & (a.rows() > 1)=>DIMENSION_MISMATCH
NORM_INFTY,MatrixXd,,double,a.lpNorm<Eigen::Infinity>(),,,,(a.cols() > 1) & (a.rows() > 1)=>DIMENSION_MISMATCH
NORM_p,MatrixXd,double,double,"pNorm(a, b)",,,,(a.cols() > 1) & (a.rows() > 1)=>DIMENSION_MISMATCH
GROUP_PAREN|GROUP_BRACKET,,,,interpretExpr(parse_tree.child(pn)),,,,
SUBSCRIPT_ACCESS,,,,elementAccess(pn),,,,
IDENTIFIER,,,,readLocal(pn),,,,
READ_GLOBAL,,,,readGlobal(pn),,,,
READ_UPVALUE,,,,readClosedVar(pn),,,,
TRUE,,,,true,,,,
