enum,label,type,a_type,b_type,ast_flag,comments
FALSE,false,BOOL,,,,
EQUAL,=,BOOL,ANY=b,-,,
NOT_EQUAL,≠,BOOL,,,,
NOT_IN,∉,BOOL,,,,
GREATER,>,BOOL,,,,
GREATER_EQUAL,≥,BOOL,,,,
LESS,<,BOOL,,,,
LESS_EQUAL,≤,BOOL,,,,
LOGICAL_AND,∧,BOOL,,,,
LOGICAL_NOT,¬,BOOL,,,,
LOGICAL_OR,∨,BOOL,,,,
TRUE,true,BOOL,,,,
ABS,| |,DOUBLE,NUMERIC,,,"positive semidefinite for abs or determinant, type is unknown if cardinality op included"
ADDITION,+,NUMERIC|STRING,,,,
BINOMIAL,⁜b,DOUBLE,DOUBLE,DOUBLE,,
CEIL,⌈ ⌉,DOUBLE,DOUBLE,,,
CLOSED_SURFACE_INTEGRAL,∯,,,,,
CLOSED_VOLUME_INTEGRAL,∰,,,,,
COMMENT,//,,,,,
CONTOUR_INTEGRAL,∮,,,,,
CROSS,×,NUMERIC=a=b,-,-,,
CURL,∇×,,,,,
CURRENCY_DOLLARS,$,,,,,
CURRENCY_EUROS,€,,,,,
CURRENCY_POUNDS,£,,,,,
DAGGER,†,NUMERIC=a,-,,,
DECREMENT,x⁻,,,,,
DERIVATIVE,ⅆy/ⅆx,,,,,
DIVERGENCE,∇⋅,,,,,
DIVIDE,÷,NUMERIC=a,-,DOUBLE,,
DOT,⋅,DOUBLE,NUMERIC=b,-,,
DOUBLE_INTEGRAL,∬,,,,,
FACTORIAL,!,DOUBLE,,,,natural number
FLOOR,⌊ ⌋,DOUBLE,,,,
FORWARDSLASH,/,NUMERIC=a,-,DOUBLE,,
FRACTION,⁜f,NUMERIC=a,-,DOUBLE,,
GRADIENT,∇,,,,,
IMPLICIT_MULTIPLY,*imp,NUMERIC,,,,
INCREMENT,x⁺,,,,,
INFIMUM,inf,,,,,
INFTY,∞,,,,,
INNER_PRODUCT,⟨ | ⟩,DOUBLE,NUMERIC,NUMERIC,,
INTEGRAL,∫,,,,,
LIMIT,lim,,,,,
MATRIX,⁜⊞,MATRIX,,,,
MAX,max,,,,,
MIN,min,,,,,
MODULUS,%,DOUBLE,DOUBLE,DOUBLE,,
MULTIPLICATION,*,NUMERIC,NUMERIC,NUMERIC,,
NORM,‖ ‖,DOUBLE,NUMERIC,,,
NORM_INFTY,‖ ‖∞,,,,,
NORM_1,‖ ‖1,,,,,
NORM_p,‖ ‖p,,,,,
INTEGER_LITERAL,,DOUBLE,,,,
DECIMAL_LITERAL,,DOUBLE,,,,
ODOT,⨀,DOUBLE,NUMERIC=b,-,,
OUTER_PRODUCT,⊗,NUMERIC,NUMERIC,NUMERIC,,
PARTIAL,∂y/∂x,,,,,
POWER,^,NUMERIC,NUMERIC,NUMERIC,,
PRODUCT,∏,NUMERIC,,,,
ROOT,⁜∛,NUMERIC=a,-,NUMERIC,,
SQRT,⁜√,NUMERIC=a,-,,,
SUBSCRIPT_PARTIAL,∂,,,,,
SUMMATION,Σ,NUMERIC=a,-,,,
TRANSPOSE,⊤,NUMERIC=a,-,,,
TRIPLE_INTEGRAL,∭,,,,,
UINT_PARSED,,,,,,
UNARY_MINUS,-,NUMERIC=a,-,,,
VEE,∨,,,,,
WEDGE,∧,,,,,
SEQUENCE_ENUMERATED,"(,,,)",,,,,
BOOLEANS,𝔹,,,,,
COMPLEX_NUMS,ℂ ,,,,,
INTEGERS,ℤ,,,,,
INTERSECTION,∩,,,,,
INTERVAL_CLOSE_CLOSE,"[,]",,,,,
INTERVAL_CLOSE_OPEN,"[,)",,,,,
INTERVAL_INTEGER,"⟦,⟧",,,,,
INTERVAL_OPEN_CLOSE,"(,]",,,,,
INTERVAL_OPEN_OPEN,"(,)",,,,,
NARY_INTERSECTION,⁜⋂,,,,,
NARY_UNION,⁜⋃,,,,,
NARY_UNIONPLUS,⁜⨄,,,,,
NATURALS,ℕ,,,,,
NEGATIVE_RATIONALS,ℚ⁻,,,,,
NEGATIVE_REALS,ℝ⁻,,,,,
POSITIVE_RATIONALS,ℚ⁺,,,,,
POSITIVE_REALS,ℝ⁺,,,,,
QUATERNIONS,ℍ,,,,,
RATIONALS,ℚ,,,,,
REALS,ℝ,,,,,
SET_BUILDER,{ | },,,,,
SET_ENUMERATED,"{,,,}",,,,,
UNION,∪,,,,,
STRING,,STRING,,,,
ALEPH,ℵ,,,,,
BACKSLASH,\\\\,NUMERIC=b,DOUBLE,-,,
BETH,ℶ,,,,,
CALL,f( ),,,,,
CARDINALITY,#,,,,,
CASES,⁜c,,,,,
CONDITIONAL_PROBABLITY,P( | ),,,,,
EMPTY_SET,∅,,,,,
ERROR,err,,,,,
EVAL,⁜_|,,,,,
FUN_SIGNATURE,f:×→,,,,,
GROUP_BRACKET,[ ],ANY=a,-,,,
GROUP_PAREN,( ),ANY=a,-,,,
IDENTIFIER,,,,,stack_offset,
IN,∈,BOOL,,,,
MINUS_PLUS_BINARY,∓,NUMERIC=a=b,-,-,,
MINUS_PLUS_UNARY,∓,NUMERIC=a=b,-,-,,
PLUS_MINUS_BINARY,±,NUMERIC=a=b,-,-,,
PLUS_MINUS_UNARY,±,NUMERIC=a=b,-,-,,
PROPORTIONAL,∝,,,,,
SET_LITERAL_DIMENSIONS,dim,,,,,
SUBSCRIPT_ACCESS,xᵢ,NUMERIC,,,,
SUBTRACTION,-,NUMERIC=a=b,-,-,,
SUPREMUM,sup,,,,,
TICK_DERIVATIVE,',,,,,
LAMBDA,λ-fun,,,,,
LIST,list,,,,,
READ_GLOBAL,,,,,global_index,
READ_UPVALUE,,,,,closure_index,
SINE,sin,NUMERIC=a,-,,,
COSINE,cos,NUMERIC=a,-,,,
TANGENT,tan,DOUBLE,DOUBLE,,,
ARCSINE,arcsin,DOUBLE,DOUBLE,,,
ARCCOSINE,arccos,DOUBLE,DOUBLE,,,
ARCTANGENT,arctan,DOUBLE,DOUBLE,,,
ARCTANGENT2,arctan2,DOUBLE,DOUBLE,,,
COSECANT,csc,DOUBLE,DOUBLE,,,
SECANT,sec,DOUBLE,DOUBLE,,,
COTANGENT,cot,DOUBLE,DOUBLE,,,
ARCCOSECANT,arccsc,DOUBLE,DOUBLE,,,
ARCSECANT,arcsec,DOUBLE,DOUBLE,,,
ARCCOTANGENT,arccot,DOUBLE,DOUBLE,,,
HYPERBOLIC_SINE,sinh,DOUBLE,DOUBLE,,,
HYPERBOLIC_COSINE,cosh,DOUBLE,DOUBLE,,,
HYPERBOLIC_TANGENT,tanh,DOUBLE,DOUBLE,,,
HYPERBOLIC_ARCSINE,asinh,DOUBLE,DOUBLE,,,
HYPERBOLIC_ARCCOSINE,acosh,DOUBLE,DOUBLE,,,
HYPERBOLIC_ARCTANGENT,atanh,DOUBLE,DOUBLE,,,
HYPERBOLIC_COSECANT,csch,DOUBLE,DOUBLE,,,
HYPERBOLIC_SECANT,sech,DOUBLE,DOUBLE,,,
HYPERBOLIC_COTANGENT,coth,DOUBLE,DOUBLE,,,
HYPERBOLIC_ARCCOSECANT,acsch,DOUBLE,DOUBLE,,,
HYPERBOLIC_ARCSECANT,asech,DOUBLE,DOUBLE,,,
HYPERBOLIC_ARCCOTANGENT,acoth,DOUBLE,DOUBLE,,,
EXP,exp,NUMERIC=a,-,,,
NATURAL_LOG,ln,NUMERIC=a,-,,,
LOGARITHM,log,DOUBLE,DOUBLE,,,
LOGARITHM_BASE,log,DOUBLE,DOUBLE,DOUBLE,,
ALGORITHM,alg,,,,,
ASSIGN,←,,ANY=b,-,,
REASSIGN,←,,ANY=b,-,,
BLOCK,block,,,,,
DEFINE_EQUALS,≔,,,,,
EXPR_STMT,expr\\nstmt,,,,,
FUN_DEF,f:()↦,,,,,
IF,if,,,,,
IF_ELSE,if/else,,,,,
PRINT,print,,,,,
RETURN,return,,,,,
RETURN_EMPTY,return,,,,,
WHILE,while,,,,,
ZERO_MATRIX,0_mat,NUMERIC,DOUBLE,DOUBLE,,
ONES_MATRIX,1_mat,NUMERIC,DOUBLE,DOUBLE,,
IDENTITY_MATRIX,I_mat,NUMERIC,DOUBLE,DOUBLE,,
IDENTITY_AUTOSIZE,I_auto,NUMERIC,,,,
UNIT_VECTOR,e_vec,NUMERIC,DOUBLE,DOUBLE,DOUBLE,
UNIT_VECTOR_AUTOSIZE,e_vec,NUMERIC,DOUBLE,,,
LENGTH,len,DOUBLE,MATRIX,,,
BREAK,break,,,,,
CONTINUE,continue,,,,,
FOR,for,,,,,
PROTOTYPE_ALG,palg,,,,,
NAUGHT,*,,,,,
PSEUDO_INVERSE,+,NUMERIC=a,-,,,
ASSERT,assert,,BOOL,,,
ERROR_FUNCTION,erf,DOUBLE,DOUBLE,,,
