Name,Font,Family,Colour Role
Default,JuliaMono,Regular,COLOUR_TEXT
Comment,JuliaMono,Regular,COLOUR_COMMENT
String,JuliaMono,Regular,COLOUR_STRING
Keyword,JuliaMono,Regular,COLOUR_KEYWORD
Number,JuliaMono,Regular,COLOUR_NUMBER
Error,JuliaMono,Regular,COLOUR_ERRORTEXT
Id,CMU_Serif_Mono,Italic,COLOUR_ID
Id_Fun_Impure,CMU_Typewriter_Scaled,Regular,COLOUR_IMPURE
Link,JuliaMono,Regular,COLOUR_LINK
PredefinedMat,CMU_Serif_Mono,Bold Italic,COLOUR_PREDEFMAT
PredefinedMatNum,JuliaMono,Bold,COLOUR_PREDEFMAT
Id_Mat,CMU_Serif_Mono,Bold Italic,COLOUR_ID
Id_Mat_Impure,CMU_Typewriter_Scaled_Bold,Bold,COLOUR_IMPURE
Predef,CMU_Serif_Mono,Italic,COLOUR_PREDEF
Id_Ewise_Index,CMU_Serif_Mono,Italic,COLOUR_KEYWORD
